Sample;X(ms) [20.02.2026 21:57:37 447 UTC];"l1_ruido[%MD168]";"l2_ruido[%MD172]";"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
1;1771624649742,530916;0;0;10;0;0
2;1771624649805,697516;0;0;10;0;0
3;1771624649868,340616;0;0;10;0;0
4;1771624649930,562816;0;0;10;0;0
5;1771624649992,860216;0;0;10;0;0
6;1771624650055,050816;0;0;10;0;0
7;1771624650118,099116;0;0;10;0;0
8;1771624650182,837016;0;0;10;0;0
9;1771624650243,150216;0;0;10;0;0
10;1771624650306,581516;0;0;10;0;0
11;1771624650368,126816;0;0;10;0;0
12;1771624650430,872016;0;0;10;0;0
13;1771624650493,377516;0;0;10;0;0
14;1771624650555,755916;0;0;10;0;0
15;1771624650618,683716;0;0;10;0;0
16;1771624650681,219316;0;0;10;0;0
17;1771624650746,619916;0;0;10;0;0
18;1771624650805,855316;0;0;10;0;0
19;1771624650869,958216;0;0;10;0;0
20;1771624650933,226616;0;0;10;0;0
21;1771624650994,295416;0;0;10;0;0
22;1771624651056,951316;0;0;10;0;0
23;1771624651119,107316;0;0;10;0;0
24;1771624651181,850116;0;0;10;0;0
25;1771624651244,241516;0;0;10;0;0
26;1771624651307,263316;0;0;10;0;0
27;1771624651371,797216;0;0;10;0;0
28;1771624651432,259316;0;0;10;0;0
29;1771624651494,458916;0;0;10;0;0
30;1771624651556,836816;0;0;10;0;0
31;1771624651619,653116;0;0;10;0;0
32;1771624651682,771316;0;0;10;0;0
33;1771624651744,964216;0;0;10;0;0
34;1771624651810,316816;0;0;10;0;0
35;1771624651869,738116;0;0;10;0;0
36;1771624651932,389516;0;0;10;0;0
37;1771624651995,281216;0;0;10;0;0
38;1771624652057,544116;0;0;10;0;0
39;1771624652119,973016;0;0;10;0;0
40;1771624652182,691416;0;0;10;0;0
41;1771624652245,175116;0;0;10;0;0
42;1771624652308,032416;0;0;10;0;0
43;1771624652370,579616;0;0;10;0;0
44;1771624652433,176716;0;0;10;0;0
45;1771624652496,193316;0;0;10;0;0
46;1771624652558,607016;0;0;10;0;0
47;1771624652620,527416;0;0;10;0;0
48;1771624652683,925316;0;0;10;0;0
49;1771624652746,237816;0;0;10;0;0
50;1771624652809,401016;0;0;10;0;0
51;1771624652871,313516;0;0;10;0;0
52;1771624652933,720416;0;0;10;0;0
53;1771624652996,322716;0;0;10;0;0
54;1771624653059,210816;0;0;10;0;0
55;1771624653121,641116;0;0;10;0;0
56;1771624653184,100416;0;0;10;0;0
57;1771624653246,918216;0;0;10;0;0
58;1771624653309,383216;0;0;10;0;0
59;1771624653372,235416;0;0;10;0;0
60;1771624653435,024616;0;0;10;0;0
61;1771624653497,563816;0;0;10;0;0
62;1771624653560,288516;0;0;10;0;0
63;1771624653622,666016;0;0;10;0;0
64;1771624653685,393416;0;0;10;0;0
65;1771624653748,876516;0;0;10;0;0
66;1771624653810,516516;0;0;10;0;0
67;1771624653873,191716;0;0;10;0;0
68;1771624653936,246016;0;0;10;0;0
69;1771624653998,688116;0;0;10;0;0
70;1771624654061,616716;0;0;10;0;0
71;1771624654123,339216;0;0;10;0;0
72;1771624654185,700216;0;0;10;0;0
73;1771624654248,581716;0;0;10;0;0
74;1771624654311,382316;0;0;10;0;0
75;1771624654373,404016;0;0;10;0;0
76;1771624654436,563616;0;0;10;0;0
77;1771624654498,947516;0;0;10;0;0
78;1771624654561,517916;0;0;10;0;0
79;1771624654624,330416;0;0;10;0;0
80;1771624654686,929216;0;0;10;0;0
81;1771624654750,071616;0;0;10;0;0
82;1771624654812,347116;0;0;10;0;0
83;1771624654874,951016;0;0;10;0;0
84;1771624654936,521516;0;0;10;0;0
85;1771624655000,664116;0;0;10;0;0
86;1771624655061,950016;0;0;10;0;0
87;1771624655124,991216;0;0;10;0;0
88;1771624655186,626016;0;0;10;0;0
89;1771624655249,238316;0;0;10;0;0
90;1771624655312,138216;0;0;10;0;0
91;1771624655374,785216;0;0;10;0;0
92;1771624655437,081016;0;0;10;0;0
93;1771624655501,102616;0;0;10;0;0
94;1771624655562,961416;0;0;10;0;0
