Sample;X(ms) [18.02.2026 22:17:06 730 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
0;1771453020288,170094;0;0;10
1;1771453020348,321894;0;0;10
2;1771453020410,172294;0;0;10
3;1771453020472,747694;0;0;10
4;1771453020534,989094;0;0;10
5;1771453020597,386994;0;0;10
6;1771453020661,449694;0;0;10
7;1771453020723,158594;0;0;10
8;1771453020786,235894;0;0;10
9;1771453020848,041294;0;0;10
10;1771453020910,073994;0;0;10
11;1771453020973,100294;0;0;10
12;1771453021035,086494;0;0;10
13;1771453021097,896494;0;0;10
14;1771453021160,460894;0;0;10
15;1771453021222,533594;0;0;10
16;1771453021285,224594;0;0;10
17;1771453021348,514494;0;0;10
18;1771453021410,913794;0;0;10
19;1771453021473,044594;0;0;10
20;1771453021535,699794;0;0;10
21;1771453021598,555594;0;0;10
22;1771453021662,757794;0;0;10
23;1771453021723,913194;0;0;10
24;1771453021785,606994;0;0;10
25;1771453021849,388594;0;0;10
26;1771453021910,987494;0;0;10
27;1771453021973,314894;0;0;10
28;1771453022035,898994;0;0;10
29;1771453022098,743894;0;0;10
30;1771453022162,056794;0;0;10
31;1771453022223,488194;0;0;10
32;1771453022285,827794;0;0;10
33;1771453022348,532394;0;0;10
34;1771453022412,851694;0;0;10
35;1771453022473,619894;0;0;10
36;1771453022538,431794;0;0;10
37;1771453022599,320194;0;0;10
38;1771453022661,769494;0;0;10
39;1771453022731,264494;0;0;10
40;1771453022786,768294;0;0;10
41;1771453022849,498394;0;0;10
42;1771453022911,406694;0;0;10
43;1771453022974,678294;0;0;10
44;1771453023037,025294;0;0;10
45;1771453023099,434394;0;0;10
46;1771453023161,538594;0;0;10
47;1771453023226,898994;0;0;10
48;1771453023288,930194;0;0;10
49;1771453023352,407494;0;0;10
50;1771453023413,688494;0;0;10
51;1771453023476,667494;0;0;10
52;1771453023539,449194;0;0;10
53;1771453023602,454894;0;0;10
54;1771453023664,000594;0;0;10
55;1771453023727,181394;0;0;10
56;1771453023789,208594;0;0;10
57;1771453023853,383094;0;0;10
58;1771453023914,486694;0;0;10
59;1771453023976,612994;0;0;10
60;1771453024039,075294;0;0;10
61;1771453024106,924694;0;0;10
62;1771453024165,494594;0;0;10
63;1771453024227,369594;0;0;10
64;1771453024290,513494;0;0;10
65;1771453024352,511794;0;0;10
66;1771453024415,900094;0;0;10
67;1771453024477,873994;0;0;10
68;1771453024539,831894;0;0;10
69;1771453024604,568794;0;0;10
70;1771453024665,796294;0;0;10
71;1771453024728,081494;0;0;10
72;1771453024791,037794;0;0;10
73;1771453024852,873194;0;0;10
74;1771453024915,258294;0;0;10
75;1771453024977,524394;0;0;10
76;1771453025040,257594;0;0;10
77;1771453025103,397094;0;0;10
78;1771453025165,183694;0;0;10
79;1771453025227,421094;0;0;10
80;1771453025291,344294;0;0;10
81;1771453025355,724694;0;0;10
82;1771453025415,806294;0;0;10
83;1771453025478,663994;0;0;10
84;1771453025540,827594;0;0;10
85;1771453025604,121794;0;0;10
86;1771453025666,388494;0;0;10
87;1771453025729,102794;0;0;10
88;1771453025791,819094;0;0;10
89;1771453025853,730194;0;0;10
90;1771453025916,510094;0;0;10
91;1771453025980,005694;0;0;10
92;1771453026041,855094;0;0;10
93;1771453026104,569494;0;0;10
94;1771453026166,913194;0;0;10
95;1771453026228,808194;0;0;10
96;1771453026292,149994;0;4,21558336741006E-14;10
97;1771453026354,066394;0;1,89995658095299E-10;10
98;1771453026418,500594;0;6,71794282425253E-08;10
