Sample;X(ms) [20.02.2026 01:50:18 101 UTC];"l1_ruido[%MD168]";"l2_ruido[%MD172]";"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
0;1771552214345,532032;0,0578184127807617;0,0578184127807617;10;0;0
1;1771552214407,801932;-0,0990913063287735;-0,0990913063287735;10;0;0
2;1771552214469,672432;0,0558095946907997;0,0558095946907997;10;0;0
3;1771552214531,913932;-0,0358845703303814;-0,0358845703303814;10;0;0
4;1771552214594,835032;0,0224454402923584;0,0224454402923584;10;0;0
5;1771552214658,082032;0,0320876128971577;0,0320876128971577;10;0;0
6;1771552214720,823232;-0,0226514469832182;-0,0226514469832182;10;0;0
7;1771552214783,011132;0,0491709820926189;0,0491709820926189;10;0;0
8;1771552214845,125632;-0,0702382177114487;-0,0702382177114487;10;0;0
9;1771552214908,474032;0,0292458534240723;0,0292458534240723;10;0;0
10;1771552214970,391932;-0,0905499681830406;-0,0905499681830406;10;0;0
11;1771552215032,898332;0,0587600246071815;0,0587600246071815;10;0;0
12;1771552215095,416232;0,0967144295573235;0,0967144295573235;10;0;0
13;1771552215158,093532;0,00615690974518657;0,00615690974518657;10;0;0
14;1771552215221,190632;0,0269066449254751;0,0269066449254751;10;0;0
15;1771552215284,570932;0,0161211490631104;0,0161211490631104;10;0;0
16;1771552215346,578232;0,0833703428506851;0,0833703428506851;10;0;0
17;1771552215408,846232;-0,0442172847688198;-0,0442172847688198;10;0;0
18;1771552215472,198932;0,0623293295502663;0,0623293295502663;10;0;0
19;1771552215533,800932;0,00297701358795166;0,00297701358795166;10;0;0
20;1771552215597,854832;-0,0294406414031982;-0,0294406414031982;10;0;0
21;1771552215658,866832;-0,0498264245688915;-0,0498264245688915;10;0;0
22;1771552215721,207532;-0,0294775310903788;-0,0294775310903788;10;0;0
23;1771552215783,708432;-0,0678981766104698;-0,0678981766104698;10;0;0
24;1771552215846,720832;0,0776894837617874;0,0776894837617874;10;0;0
25;1771552215909,864932;0,0372291691601276;0,0372291691601276;10;0;0
26;1771552215972,306332;0,0982467755675316;0,0982467755675316;10;0;0
27;1771552216034,170732;0,033500075340271;0,033500075340271;10;0;0
28;1771552216097,253932;0,0773171111941338;0,0773171111941338;10;0;0
29;1771552216159,759232;0,0244476553052664;0,0244476553052664;10;0;0
30;1771552216222,221332;-0,0141040151938796;-0,0141040151938796;10;0;0
31;1771552216284,969832;-0,0733006969094276;-0,0733006969094276;10;0;0
32;1771552216347,739632;0,0828279405832291;0,0828279405832291;10;0;0
33;1771552216410,529932;0,0290882475674152;0,0290882475674152;10;0;0
34;1771552216473,225932;0,0938393101096153;0,0938393101096153;10;0;0
35;1771552216535,715032;0,0529698990285397;0,0529698990285397;10;0;0
36;1771552216599,222232;0,0038595914375037;0,0038595914375037;10;0;0
37;1771552216661,183532;-0,0365986414253712;-0,0365986414253712;10;0;0
38;1771552216723,356732;0,0770396217703819;0,0770396217703819;10;0;0
39;1771552216786,482732;-0,0238088723272085;-0,0238088723272085;10;0;0
40;1771552216848,835432;-0,071013480424881;-0,071013480424881;10;0;0
41;1771552216911,236232;0,0826384797692299;0,0826384797692299;10;0;0
42;1771552216974,148032;-0,00165486335754395;-0,00165486335754395;10;0;0
43;1771552217036,300032;0,0321721918880939;0,0321721918880939;10;0;0
44;1771552217099,035132;0,0220735799521208;0,0220735799521208;10;0;0
45;1771552217161,960832;0,0110757229849696;0,0110757229849696;10;0;0
46;1771552217224,135032;0,0380025766789913;0,0380025766789913;10;0;0
47;1771552217287,088832;0,0133559470996261;0,0133559470996261;10;0;0
48;1771552217349,657532;-0,0891037508845329;-0,0891037508845329;10;0;0
49;1771552217412,167332;0,00651427498087287;0,00651427498087287;10;0;0
50;1771552217474,961932;-0,0148555105552077;-0,0148555105552077;10;0;0
51;1771552217538,853732;-0,0467082038521767;-0,0467082038521767;10;0;0
52;1771552217600,233132;0,0536676160991192;0,0536676160991192;10;0;0
53;1771552217663,602032;0,00618050107732415;0,00618050107732415;10;6,92159166777278E-16;1,08304419374331E-14
54;1771552217725,702732;0,0160245895385742;0,0160245895385742;10;5,34464096244025E-12;7,69249386411985E-11
55;1771552217788,446332;-0,0328543148934841;-0,0328542850911617;10;2,41352871022116E-09;3,46756152680427E-08
56;1771552217850,884832;0,085036613047123;0,0850395485758781;10;2,21678433831585E-07;3,15993179356155E-06
57;1771552217913,557132;-0,0625821575522423;-0,0624932982027531;10;6,84523683958105E-06;9,57053198362701E-05
58;1771552217976,595632;0,0822465196251869;0,082598514854908;10;2,75793008768233E-05;0,000379579403670505
59;1771552218038,568432;-0,0926226004958153;-0,0894523859024048;10;0,00026131555205211;0,00343153229914606
60;1771552218101,036332;-0,0601561069488525;-0,0454198494553566;10;0,0013133657630533;0,0160496234893799
61;1771552218163,844232;-0,00505261588841677;0,0320548415184021;10;0,00368568790145218;0,0407931432127953
62;1771552218227,657732;0,0624347850680351;0,113836333155632;10;0,00574758462607861;0,0571491308510303
63;1771552218294,280032;0,0276145804673433;0,0700627416372299;10;0,00454672379419208;0,0469948872923851
64;1771552218351,762632;0,0765675157308578;0,112614870071411;10;0,00150325370486826;0,0375506021082401
65;1771552218415,396032;-0,0905813723802567;-0,0437308587133884;10;0,00148220150731504;0,048332717269659
66;1771552218477,275732;0,0733289644122124;0,125154122710228;10;0,00286860973574221;0,0546937696635723
67;1771552218539,800132;0,0224266741424799;0,0822520777583122;10;0,00635575829073787;0,0661811605095863
68;1771552218601,992532;-0,0860249996185303;-0,0105371996760368;10;0,00910765770822763;0,0845954567193985
69;1771552218665,190832;0,050090491771698;0,129214003682137;10;0,0092905405908823;0,0884140506386757
70;1771552218732,268832;0,07088403403759;0,138933390378952;10;0,0060040233656764;0,0740533769130707
71;1771552218790,499532;-0,0850948393344879;-0,0132006779313087;10;0,00376288266852498;0,0756570473313332
72;1771552218852,109232;-0,0725586414337158;0,00661925226449966;10;0,00482834037393332;0,0840062350034714
73;1771552218915,507332;0,066937655210495;0,144633427262306;10;0,0063033988699317;0,0839991718530655
74;1771552218978,302832;0,0356410257518291;0,11384990811348;10;0,00719320634379983;0,0854020863771439
75;1771552219041,201332;0,0393275693058968;0,118464440107346;10;0,00722552230581641;0,0863623917102814
76;1771552219102,791932;0,0217756107449532;0,106298223137856;10;0,00619879504665732;0,0907214060425758
77;1771552219165,694132;-0,010856544598937;0,0791365951299667;10;0,00554834119975567;0,0955414846539497
78;1771552219228,679232;0,0964485108852386;0,187716096639633;10;0,00569819612428546;0,0969657748937607
79;1771552219290,741532;-0,00279177399352193;0,0946036949753761;10;0,0052365125156939;0,102631978690624
80;1771552219353,364032;0,0708871260285378;0,172441005706787;10;0,00544659327715635;0,107000477612019
81;1771552219416,061432;0,00477187382057309;0,113697402179241;10;0,00615077372640371;0,115076303482056
82;1771552219478,990032;0,0834828913211823;0,195965081453323;10;0,00635221926495433;0,118834413588047
83;1771552219541,373332;0,0973639637231827;0,213753014802933;10;0,00698657101020217;0,123375616967678
84;1771552219604,226332;-0,0756272226572037;0,0495525896549225;10;0,00868275482207537;0,133862569928169
85;1771552219666,624832;0,0762451589107513;0,207324504852295;10;0,0111637525260448;0,142243102192879
86;1771552219729,458332;-0,0362171120941639;0,0950683653354645;10;0,0113952523097396;0,142680734395981
87;1771552219792,746632;0,0797522813081741;0,210829854011536;10;0,00937377940863371;0,140451341867447
88;1771552219855,336332;-0,0835348665714264;0,0499170795083046;10;0,00882033165544271;0,142272278666496
89;1771552219916,810332;-0,0217937994748354;0,115228615701199;10;0,00982647202908993;0,146848887205124
90;1771552219980,422032;-0,0572727583348751;0,0908520072698593;10;0,012387921102345;0,160512685775757
91;1771552220042,566132;0,0948088467121124;0,247674465179443;10;0,0142008950933814;0,167066514492035
92;1771552220104,673232;0,0932307317852974;0,242354020476341;10;0,0163335148245096;0,165456801652908
93;1771552220167,505232;-0,0439721420407295;0,102998651564121;10;0,0141730010509491;0,1611437946558
94;1771552220231,856132;0,0737263262271881;0,224907770752907;10;0,0119632901623845;0,163144737482071
95;1771552220294,708332;-0,0627260282635689;0,0919113755226135;10;0,0120119955390692;0,166649401187897
96;1771552220356,454732;0,101274736225605;0,260260313749313;10;0,0124757597222924;0,171461328864098
97;1771552220417,844032;-0,0633781403303146;0,100236095488071;10;0,0151508562266827;0,178765088319778
98;1771552220481,074032;0,0674345567822456;0,234333008527756;10;0,0170156452804804;0,183914095163345
99;1771552220542,977732;0,0215140730142593;0,187329262495041;10;0,0164793878793716;0,182294577360153
100;1771552220606,276732;-0,0221443735063076;0,148299306631088;10;0,014204315841198;0,184647992253304
101;1771552220668,446732;-0,0280662458389997;0,153373330831528;10;0,0132879223674536;0,194727495312691
102;1771552220730,784032;-0,0427935793995857;0,140693560242653;10;0,0147247817367315;0,198211923241615
103;1771552220793,845532;0,00426724087446928;0,190191879868507;10;0,0173810496926308;0,203305691480637
104;1771552220857,247432;0,0534800998866558;0,240912824869156;10;0,0183767415583134;0,205809459090233
105;1771552220918,699032;0,0889510661363602;0,283084869384766;10;0,0173805914819241;0,21151439845562
106;1771552220981,234032;-0,0304714068770409;0,167875781655312;10;0,0174534805119038;0,215800672769547
107;1771552221044,069632;0,00101528689265251;0,201630741357803;10;0,0189565774053335;0,21957203745842
108;1771552221106,379532;-0,0263803489506245;0,176123648881912;10;0,0196732580661774;0,222177252173424
109;1771552221170,455732;0,0846066847443581;0,291136652231216;10;0,0210536513477564;0,22758361697197
110;1771552221231,879632;0,0277826227247715;0,232571750879288;10;0,0226785447448492;0,22746767103672
111;1771552221296,687232;0,0584137700498104;0,267472922801971;10;0,0211048014461994;0,23016394674778
112;1771552221357,469432;-0,0624996870756149;0,152750939130783;10;0,0196738336235285;0,234924465417862
113;1771552221419,271132;-0,0272546540945768;0,190101698040962;10;0,0217549372464418;0,239111289381981
114;1771552221481,973932;0,0389221161603928;0,258592188358307;10;0,0233022775501013;0,242972359061241
115;1771552221545,269832;-0,0277160760015249;0,195835411548615;10;0,024926146492362;0,248477637767792
116;1771552221607,794032;0,0682821497321129;0,293401122093201;10;0,0237389039248228;0,248857870697975
117;1771552221669,832132;0,0326759144663811;0,260283410549164;10;0,0225478317588568;0,250155329704285
118;1771552221732,626732;0,071990579366684;0,302194714546204;10;0,0229556113481522;0,253159761428833
119;1771552221795,423332;-0,00537137873470783;0,230268314480782;10;0,0243530292063951;0,259992718696594
120;1771552221857,586132;-0,048787847161293;0,190954834222794;10;0,0265931244939566;0,266335815191269
121;1771552221920,067532;0,116438567638397;0,360144555568695;10;0,0266407784074545;0,270346760749817
122;1771552221983,181032;0,0892044007778168;0,334145545959473;10;0,0262394286692142;0,27118057012558
123;1771552222045,289932;0,0370810627937317;0,286957800388336;10;0,024975037202239;0,274851769208908
124;1771552222107,658232;0,0594482272863388;0,312413096427917;10;0,0256969686597586;0,278661847114563
125;1771552222170,289932;-0,00146864540874958;0,255094885826111;10;0,0275178570300341;0,284081399440765
126;1771552222233,096332;-0,015306519344449;0,242715179920197;10;0,0302260424941778;0,288247734308243
127;1771552222298,133732;-0,0685688033699989;0,192107185721397;10;0,0309856291860342;0,291661620140076
128;1771552222358,179232;0,114508561789989;0,38108304142952;10;0,0287415515631437;0,2953160405159
129;1771552222420,627932;-0,0620636790990829;0,207390636205673;10;0,0289942566305399;0,29844856262207
130;1771552222483,739532;0,104312419891357;0,375284135341644;10;0,0296787470579147;0,300650477409363
131;1771552222547,197432;0,102185919880867;0,375851154327393;10;0,0309590231627226;0,304624259471893
132;1771552222608,620032;0,090973898768425;0,365337044000626;10;0,0330620482563972;0,307425200939178
133;1771552222671,044232;0,118524231016636;0,395476937294006;10;0,0341686829924583;0,31112140417099
134;1771552222734,064232;0,069896399974823;0,350951820611954;10;0,0330274701118469;0,314082890748978
135;1771552222796,686732;0,0896568819880486;0,375369608402252;10;0,0322055742144585;0,317918300628662
136;1771552222859,779132;0,0204642675817013;0,310081452131271;10;0,0330782905220985;0,322695463895798
137;1771552222922,139032;0,0127607397735119;0,303714781999588;10;0,0338134281337261;0,324767470359802
138;1771552222984,418432;0,0717652589082718;0,363812327384949;10;0,0374460071325302;0,329493075609207
139;1771552223048,176232;0,0508453622460365;0,344670861959457;10;0,0381816402077675;0,332007139921188
140;1771552223110,675232;-0,0164515189826488;0,282082557678223;10;0,0366417355835438;0,335175812244415
141;1771552223173,628332;0,0330839827656746;0,337154030799866;10;0,0348086357116699;0,338878691196442
142;1771552223236,070732;-0,040800079703331;0,266074627637863;10;0,0358457937836647;0,342720508575439
143;1771552223298,731832;0,0221157688647509;0,329286485910416;10;0,0405161045491695;0,34768682718277
144;1771552223361,268832;0,0402797386050224;0,351712077856064;10;0,0410003587603569;0,352432698011398
145;1771552223423,811632;-0,0198910757899284;0,294805288314819;10;0,0408248491585255;0,355521202087402
146;1771552223486,407732;0,0811182633042336;0,400030493736267;10;0,0397877469658852;0,358699977397919
147;1771552223549,192932;0,0928246974945068;0,413865447044373;10;0,0394545048475266;0,360495269298553
148;1771552223611,689732;0,101238325238228;0,424640685319901;10;0,0407249107956886;0,364127278327942
149;1771552223674,048332;0,0503182075917721;0,375810295343399;10;0,0427468679845333;0,36823895573616
150;1771552223736,681332;-0,0388696677982807;0,287628054618835;10;0,0457414723932743;0,372239202260971
151;1771552223799,932332;0,0302578806877136;0,360162913799286;10;0,0452839434146881;0,37518897652626
152;1771552223862,228732;-0,00557085126638412;0,328626066446304;10;0,0444806702435017;0,378677576780319
153;1771552223924,814432;-0,0119331479072571;0,326144933700562;10;0,0441038608551025;0,382181942462921
154;1771552223987,238732;0,0557317510247231;0,397277474403381;10;0,0452402830123901;0,386786013841629
155;1771552224052,650832;0,0635650902986526;0,406933963298798;10;0,0463371686637402;0,389706045389175
156;1771552224113,692332;0,0640549212694168;0,408050954341888;10;0,0474012307822704;0,391397267580032
157;1771552224175,235232;0,0887393429875374;0,432964682579041;10;0,0504838638007641;0,394709199666977
158;1771552224238,434932;0,00385691598057747;0,353063672780991;10;0,0494727939367294;0,398679554462433
159;1771552224300,329232;0,0601873993873596;0,413944244384766;10;0,0491246208548546;0,402881473302841
160;1771552224363,945932;0,0355313122272491;0,390854865312576;10;0,0510717742145061;0,406395316123962
161;1771552224425,501432;0,0789700001478195;0,437024831771851;10;0,0517072640359402;0,4097620844841
162;1771552224489,337432;0,152177333831787;0,513015985488892;10;0,05281613022089;0,413654774427414
163;1771552224551,223732;0,0898110717535019;0,452311277389526;10;0,0529770329594612;0,415477246046066
164;1771552224613,532532;-0,0108252204954624;0,354524314403534;10;0,0535237528383732;0,418873280286789
165;1771552224675,846432;0,0854004099965096;0,453993618488312;10;0,0540164187550545;0,422609627246857
166;1771552224738,500232;0,00250255316495895;0,374294459819794;10;0,0548333339393139;0,42662525177002
167;1771552224801,445232;0,123432099819183;0,496490836143494;10;0,0574101284146309;0,430468857288361
168;1771552224864,296332;-0,00718521699309349;0,369790941476822;10;0,056911613792181;0,433887779712677
169;1771552224926,634232;0,122553497552872;0,503596603870392;10;0,0561756007373333;0,437218695878983
170;1771552224988,593832;0,0489641055464745;0,431532293558121;10;0,0563162676990032;0,43888446688652
171;1771552225053,666432;-0,0123268514871597;0,374212980270386;10;0,0566110983490944;0,44315093755722
172;1771552225114,712432;-0,00356405600905418;0,38381353020668;10;0,058547131717205;0,44592472910881
173;1771552225176,923432;0,101598143577576;0,490441799163818;10;0,0607921741902828;0,449635833501816
174;1771552225238,994332;0,142054498195648;0,534002184867859;10;0,0613049902021885;0,453252702951431
175;1771552225301,594232;0,0691667646169662;0,464548617601395;10;0,0612188391387463;0,456600695848465
176;1771552225365,147732;-0,0168938264250755;0,381483495235443;10;0,0615857169032097;0,459963023662567
177;1771552225426,971632;0,0514058619737625;0,452758550643921;10;0,0622836723923683;0,463636368513107
178;1771552225489,313632;0,0357937887310982;0,441131174564362;10;0,0619942806661129;0,467331677675247
179;1771552225552,680932;0,000944707542657852;0,406934440135956;10;0,063154511153698;0,469144254922867
180;1771552225614,791032;-0,0193364024162292;0,387684285640717;10;0,0656561180949211;0,472676813602448
181;1771552225677,957832;0,0334125384688377;0,443785130977631;10;0,0659359022974968;0,47630849480629
182;1771552225739,665832;0,0569979026913643;0,46945396065712;10;0,0674333721399307;0,479889422655106
183;1771552225802,962432;0,0654790997505188;0,480914056301117;10;0,0679841041564941;0,483419060707092
184;1771552225865,256532;0,0755649879574776;0,494466006755829;10;0,068119615316391;0,487020641565323
185;1771552225927,349032;0,15424370765686;0,576680481433868;10;0,0680030882358551;0,490439862012863
186;1771552225990,485232;0,136683523654938;0,560595393180847;10;0,0699560567736626;0,493867933750153
187;1771552226052,725132;0,122724823653698;0,547710120677948;10;0,0706258565187454;0,495611160993576
188;1771552226115,568332;0,0852511823177338;0,514293491840363;10;0,0701993033289909;0,499241590499878
189;1771552226178,218232;0,15863972902298;0,58950799703598;10;0,0719765871763229;0,502844870090485
190;1771552226240,248232;0,0867813751101494;0,518800377845764;10;0,0742252171039581;0,506244242191315
191;1771552226303,149232;0,146319389343262;0,581527590751648;10;0,0745161473751068;0,509724378585815
192;1771552226366,576432;0,129597261548042;0,569000661373138;10;0,0737393870949745;0,513142764568329
193;1771552226428,201532;0,0114727802574635;0,45431262254715;10;0,0736418515443802;0,516481697559357
194;1771552226490,719332;0,00523702055215836;0,449871808290482;10;0,075229823589325;0,519864618778229
195;1771552226554,039832;0,118244037032127;0,563337802886963;10;0,0765379667282104;0,521631717681885
196;1771552226617,013932;0,0088406503200531;0,455618858337402;10;0,0784922018647194;0,525270402431488
