Sample;X(ms) [18.02.2026 22:00:35 887 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
0;1771452032821,598773;0;0;5,22081995010376
1;1771452032884,543173;0;0;5,22081995010376
2;1771452032946,577373;0;0;5,22081995010376
3;1771452033008,787573;0;0;5,22081995010376
4;1771452033070,528773;0;0;5,22081995010376
5;1771452033133,228573;0;0;5,22081995010376
6;1771452033196,005873;0;0;5,22081995010376
7;1771452033259,068773;0;0;5,22081995010376
8;1771452033321,179273;0;0;5,22081995010376
9;1771452033384,419173;0;0;5,22081995010376
10;1771452033446,026573;0;0;5,22081995010376
11;1771452033508,397373;0;0;5,22081995010376
12;1771452033570,932173;0;0;5,22081995010376
13;1771452033633,786573;0;0;5,22081995010376
14;1771452033696,013073;0;0;5,22081995010376
15;1771452033758,492473;0;0;5,22081995010376
16;1771452033825,486773;0;0;5,22081995010376
17;1771452033884,568973;0;0;5,22081995010376
18;1771452033946,929573;0;0;5,22081995010376
19;1771452034008,896473;0;0;5,22081995010376
20;1771452034072,369373;0;0;5,22081995010376
21;1771452034134,670973;0;0;5,22081995010376
22;1771452034198,161173;0;0;5,22081995010376
23;1771452034259,733673;0;0;5,22081995010376
24;1771452034329,503573;0;0;5,22081995010376
25;1771452034385,296973;0;0;5,22081995010376
26;1771452034447,330273;0;0;5,22081995010376
27;1771452034510,051673;0;0;5,22081995010376
28;1771452034572,743173;0;0;5,22081995010376
29;1771452034634,838873;0;0;5,22081995010376
30;1771452034697,298873;0;0;5,22081995010376
31;1771452034760,659073;0;0;5,22081995010376
32;1771452034823,000873;0;0;5,22081995010376
33;1771452034884,960573;0;0;5,22081995010376
34;1771452034947,886973;0;0;5,22081995010376
35;1771452035011,313673;0;0;5,22081995010376
36;1771452035072,252173;0;0;5,22081995010376
37;1771452035134,987573;0;0;5,22081995010376
38;1771452035197,869673;0;0;5,22081995010376
39;1771452035260,189673;0;0;5,22081995010376
40;1771452035323,575073;0;0;5,22081995010376
41;1771452035386,238773;0;0;5,22081995010376
42;1771452035448,591173;0;2,48357242974354E-13;5,22081995010376
43;1771452035510,347773;0;5,03404984364408E-10;5,22081995010376
44;1771452035573,224673;0;1,14594598699114E-07;5,22081995010376
45;1771452035635,234973;0;6,63786659060861E-06;5,22081995010376
46;1771452035698,730773;0;0,000143410230521113;5,22081995010376
47;1771452035760,429873;0;0,0014175265096128;5,22081708908081
48;1771452035823,384773;0;0,00716816494241357;5,22078990936279
49;1771452035887,396873;0;0,0127703873440623;5,22065305709839
50;1771452035951,457973;0;0,0279489140957594;5,22041511535645
51;1771452036013,382173;0;0,0270156152546406;5,21989631652832
52;1771452036073,492273;0;0,0194391030818224;5,21942186355591
53;1771452036136,347773;0;0,0205131471157074;5,21911668777466
54;1771452036198,651173;0;0,0273632127791643;5,21880626678467
55;1771452036260,893873;0;0,0327997282147408;5,21837949752808
56;1771452036324,479273;0;0,042224358767271;5,21786880493164
57;1771452036394,800273;0;0,0456117615103722;5,21720218658447
58;1771452036448,949573;0;0,0420700162649155;5,21650362014771
59;1771452036511,728673;0;0,0362738929688931;5,21590805053711
60;1771452036573,719973;0;0,0405822210013866;5,2154541015625
61;1771452036636,066173;0;0,0426410995423794;5,2149395942688
62;1771452036698,940473;0;0,042435497045517;5,21441125869751
63;1771452036761,167473;0;0,043440219014883;5,21391344070435
64;1771452036824,009073;3,92510070263254E-15;0,0452826358377934;5,21342086791992
65;1771452036886,806373;5,32344215367284E-14;0,0469342954456806;5,21291732788086
66;1771452036949,132973;7,72653815928059E-12;0,0482388101518154;5,21240711212158
67;1771452037011,865773;3,04653413607525E-10;0,0500349663197994;5,21189785003662
68;1771452037075,091773;7,00027902311717E-09;0,0527610816061497;5,21137857437134
69;1771452037137,087473;1,02802893309217E-07;0,0554691404104233;5,21083307266235
70;1771452037198,933573;1,02784395039635E-06;0,0598010197281837;5,21026277542114
71;1771452037261,547573;7,32595162844518E-06;0,0618782863020897;5,20963716506958
72;1771452037324,106673;3,8530291931238E-05;0,067358136177063;5,20900297164917
73;1771452037386,681273;7,95008381828666E-05;0,0700431689620018;5,20829391479492
74;1771452037448,919573;0,000277205836027861;0,0718029737472534;5,20756912231445
75;1771452037511,823073;0,000746499339584261;0,0707495883107185;5,20684432983398
76;1771452037574,728773;0,00155350775457919;0,0703943073749542;5,20617246627808
77;1771452037636,855973;0,00249865627847612;0,07198466360569;5,20553493499756
78;1771452037699,936473;0,00314744049683213;0,0762180685997009;5,20489025115967
79;1771452037761,994173;0,00316754612140357;0,0837561041116714;5,2041916847229
80;1771452037824,907073;0,0026355804875493;0,0824271216988564;5,20338249206543
81;1771452037886,571873;0,00238827476277947;0,0805734992027283;5,20264339447021
82;1771452037950,445773;0,00271136476658285;0,0807385966181755;5,20197868347168
83;1771452038017,876273;0,00481254747137427;0,0822510719299316;5,20134162902832
84;1771452038076,321773;0,00577865121886134;0,084100678563118;5,20069074630737
85;1771452038137,946473;0,00576185015961528;0,086686834692955;5,20002889633179
86;1771452038199,496273;0,00511454930528998;0,0909448713064194;5,19935035705566
87;1771452038263,121673;0,00452205492183566;0,090369313955307;5,19862842559814
88;1771452038327,857573;0,00447378540411592;0,0915384069085121;5,19795894622803
89;1771452038387,908773;0,00491255475208163;0,0945288613438606;5,19730091094971
90;1771452038462,043373;0,00643297424539924;0,0981560721993446;5,19661426544189
91;1771452038512,577973;0,00640945928171277;0,0993798300623894;5,19587993621826
92;1771452038575,966873;0,0061413343064487;0,101570688188076;5,19515895843506
93;1771452038637,308873;0,0063876579515636;0,102756425738335;5,19443368911743
94;1771452038700,694573;0,00671234587207437;0,106926761567593;5,1937198638916
95;1771452038764,254873;0,00710539659485221;0,108573466539383;5,19295930862427
96;1771452038824,996273;0,00766603648662567;0,109773151576519;5,19220113754272
97;1771452038888,242873;0,0078863836824894;0,111355558037758;5,19145393371582
98;1771452038951,042973;0,00839312840253115;0,112575501203537;5,1907114982605
99;1771452039012,534273;0,00907355267554522;0,112297892570496;5,18997859954834
100;1771452039075,388473;0,00968229211866856;0,114891849458218;5,18928194046021
101;1771452039138,163473;0,0101647656410933;0,11645095795393;5,18856573104858
102;1771452039201,179173;0,0103552909567952;0,119703561067581;5,18785095214844
103;1771452039262,940373;0,0104916915297508;0,122362934052944;5,18710803985596
104;1771452039325,770173;0,0105586145073175;0,122285328805447;5,18634986877441
105;1771452039387,891773;0,0107574183493853;0,122500605881214;5,18563079833984
106;1771452039450,658773;0,0116956327110529;0,123379684984684;5,18494176864624
107;1771452039513,207673;0,0126191033050418;0,125760108232498;5,1842622756958
108;1771452039574,951173;0,0131044033914804;0,129457041621208;5,18356418609619
109;1771452039638,051273;0,0128986490890384;0,131541192531586;5,18282556533813
110;1771452039700,321573;0,0123684974387288;0,132942870259285;5,18208503723145
111;1771452039764,811673;0,0125414011999965;0,134692028164864;5,18135929107666
112;1771452039825,248573;0,0136731350794435;0,136460781097412;5,18063449859619
113;1771452039888,665073;0,0142190949991345;0,137720122933388;5,17990303039551
114;1771452039952,001473;0,0147517211735249;0,140261828899384;5,17917919158936
115;1771452040012,663673;0,0150472447276115;0,141738265752792;5,17843818664551
116;1771452040080,916473;0,0151081504300237;0,143986567854881;5,17770385742188
117;1771452040137,959673;0,0153127433732152;0,144959717988968;5,17696237564087
118;1771452040200,746373;0,0160976741462946;0,146808415651321;5,17623710632324
119;1771452040263,247473;0,0169165190309286;0,148677408695221;5,17550659179688
120;1771452040325,861173;0,017305925488472;0,149896666407585;5,17476987838745
121;1771452040389,549773;0,0174175221472979;0,150769680738449;5,17404365539551
122;1771452040451,164773;0,0179114304482937;0,152360990643501;5,17333602905273
123;1771452040518,703973;0,0184807255864143;0,153728201985359;5,17262887954712
124;1771452040575,565973;0,01893450319767;0,15595468878746;5,17192649841309
125;1771452040638,604673;0,0193865410983562;0,158010363578796;5,1712121963501
126;1771452040700,715973;0,0195776429027319;0,159771993756294;5,17049074172974
127;1771452040763,960873;0,0199246741831303;0,16135148704052;5,16976976394653
128;1771452040827,720973;0,0204350501298904;0,162781819701195;5,16905212402344
129;1771452040888,842073;0,020699879154563;0,163629800081253;5,16833829879761
130;1771452040951,468373;0,0214033722877502;0,165365740656853;5,16764163970947
131;1771452041014,094573;0,0219707172363997;0,167384415864944;5,16694068908691
132;1771452041076,355273;0,0220928937196732;0,169897109270096;5,16623163223267
133;1771452041138,952673;0,0222778953611851;0,171625792980194;5,16550827026367
134;1771452041201,657773;0,0225406419485807;0,172927379608154;5,16478681564331
135;1771452041264,222773;0,0231992285698652;0,174535423517227;5,1640739440918
136;1771452041326,350373;0,0241366680711508;0,176192954182625;5,16336059570313
137;1771452041389,043673;0,0245086718350649;0,177102893590927;5,16264343261719
138;1771452041452,472373;0,0249786842614412;0,179113209247589;5,16194152832031
139;1771452041514,374373;0,0251407437026501;0,180623173713684;5,16123199462891
140;1771452041576,414773;0,0254262425005436;0,181994825601578;5,1605281829834
141;1771452041639,636173;0,0260835587978363;0,183693885803223;5,15983057022095
142;1771452041702,381773;0,0267987735569477;0,185205578804016;5,15912961959839
143;1771452041764,525473;0,0273774284869432;0,187028154730797;5,15842914581299
144;1771452041827,672173;0,027799466624856;0,188656970858574;5,15772390365601
145;1771452041890,615873;0,0281062889844179;0,190141662955284;5,15701913833618
146;1771452041953,773373;0,0283144973218441;0,191024079918861;5,15631866455078
147;1771452042014,755773;0,0288943480700254;0,192978128790855;5,15563440322876
148;1771452042078,121973;0,0294031985104084;0,194773405790329;5,15494203567505
149;1771452042142,531073;0,0299562383443117;0,196606293320656;5,15424585342407
150;1771452042203,187273;0,0302498769015074;0,197918698191643;5,15354442596436
151;1771452042264,495373;0,0307289492338896;0,199640855193138;5,15285110473633
152;1771452042327,024273;0,0313275866210461;0,201156422495842;5,15215492248535
153;1771452042390,056573;0,031594380736351;0,20198193192482;5,15145969390869
154;1771452042453,181073;0,032112292945385;0,203786626458168;5,15078115463257
155;1771452042515,604173;0,0325962193310261;0,205610349774361;5,15009784698486
156;1771452042578,023073;0,0329680182039738;0,207239836454391;5,14940929412842
157;1771452042645,349673;0,0334081128239632;0,208723708987236;5,14872121810913
158;1771452042702,779573;0,0340101085603237;0,21021780371666;5,14803504943848
159;1771452042764,597273;0,0346877425909042;0,211725026369095;5,14734983444214
160;1771452042827,177373;0,035014383494854;0,212538942694664;5,1466646194458
161;1771452042889,772573;0,0355717986822128;0,214230746030807;5,14599514007568
162;1771452042953,316773;0,0359955057501793;0,215882539749146;5,1453218460083
163;1771452043014,887773;0,0363740138709545;0,217451617121696;5,1446475982666
164;1771452043084,987673;0,036853663623333;0,21889765560627;5,1439733505249
165;1771452043141,041673;0,0375089794397354;0,22049106657505;5,14330148696899
166;1771452043202,989673;0,0381123460829258;0,222166061401367;5,14262723922729
167;1771452043265,111273;0,0386149697005749;0,223806500434875;5,14194965362549
168;1771452043327,266273;0,0388440936803818;0,224599793553352;5,14127016067505
169;1771452043389,926173;0,039252083748579;0,226190134882927;5,14060735702515
170;1771452043452,590873;0,0397292263805866;0,227833136916161;5,13994407653809
171;1771452043514,556673;0,0403199829161167;0,229391470551491;5,13927841186523
172;1771452043577,566273;0,0408792309463024;0,231006726622581;5,13861131668091
173;1771452043639,928973;0,0413916856050491;0,232565864920616;5,13794231414795
174;1771452043702,577973;0,0418995209038258;0,234070524573326;5,13727235794067
175;1771452043764,898073;0,0424116998910904;0,235611513257027;5,13660287857056
176;1771452043828,075373;0,0426962152123451;0,23641000688076;5,13593292236328
177;1771452043890,459573;0,0432897545397282;0,238058239221573;5,13527917861938
178;1771452043952,937173;0,0438093021512032;0,239589557051659;5,13462162017822
179;1771452044015,375373;0,0443070717155933;0,241105854511261;5,13396310806274
180;1771452044077,713373;0,0448362864553928;0,242645904421806;5,13330411911011
181;1771452044140,597273;0,0454175062477589;0,244121834635735;5,13264465332031
182;1771452044204,799573;0,0461421720683575;0,245965227484703;5,13198471069336
183;1771452044268,040173;0,0465715825557709;0,247130304574966;5,13131666183472
184;1771452044329,414273;0,0468570031225681;0,247940555214882;5,13065624237061
185;1771452044392,900573;0,0473700203001499;0,249535590410233;5,13001108169556
186;1771452044455,288873;0,04783845692873;0,251027047634125;5,12936305999756
187;1771452044517,059373;0,0483651049435139;0,252538830041885;5,12871503829956
188;1771452044579,197073;0,0489316917955875;0,254042565822601;5,12806606292725
189;1771452044643,607173;0,0495255440473557;0,255563169717789;5,12741613388062
190;1771452044710,940273;0,0500966496765614;0,257155478000641;5,12676477432251
191;1771452044767,289673;0,0506047531962395;0,258660078048706;5,12611055374146
192;1771452044831,472073;0,0511042550206184;0,260159939527512;5,1254563331604
193;1771452044892,182073;0,0513661280274391;0,260906279087067;5,12480163574219
194;1771452044955,189873;0,0519311018288136;0,262402594089508;5,12416362762451
