Sample;X(ms) [20.02.2026 22:06:50 858 UTC];"l1_ruido[%MD168]";"l2_ruido[%MD172]";"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
1;1771625206916,213766;0;0;10;0;0
2;1771625206981,366166;0;0;10;0;0
3;1771625207041,810466;0;0;10;0;0
4;1771625207103,904966;0;0;10;0;0
5;1771625207166,195266;0;0;10;0;0
6;1771625207229,029666;0;0;10;0;0
7;1771625207292,592566;0;0;10;0;0
8;1771625207355,295766;0;0;10;0;0
9;1771625207417,717766;0;0;10;0;0
10;1771625207481,164566;0;0;10;0;0
11;1771625207543,074466;0;0;10;0;0
12;1771625207605,516866;0;0;10;0;0
13;1771625207668,112966;0;0;10;0;0
14;1771625207730,079366;0;0;10;0;0
15;1771625207792,894266;0;0;10;0;0
16;1771625207855,245466;0;0;10;0;0
17;1771625207917,851766;0;0;10;0;0
18;1771625207980,100566;0;0;10;0;0
19;1771625208043,119966;0;0;10;0;0
20;1771625208105,818566;0;0;10;0;0
21;1771625208168,332966;0;0;10;0;0
22;1771625208230,358866;0;0;10;0;0
23;1771625208293,309366;0;0;10;0;0
24;1771625208355,792466;0;0;10;0;0
25;1771625208418,584666;0;0;10;0;0
26;1771625208481,421966;0;0;10;0;0
27;1771625208543,967766;0;0;10;0;0
28;1771625208606,221566;0;0;10;0;0
29;1771625208669,574666;0;0;10;0;0
30;1771625208731,006466;0;0;10;0;0
31;1771625208794,092666;0;0;10;0;0
32;1771625208856,326666;0;0;10;0;0
33;1771625208919,239666;0;0;10;0;0
34;1771625208981,211366;0;0;10;0;0
35;1771625209044,109166;0;0;10;0;0
36;1771625209108,097766;0;0;10;0;0
37;1771625209172,174466;0;0;10;0;0
38;1771625209233,324066;0;0;10;0;0
39;1771625209295,599466;0;0;10;0;0
40;1771625209357,668766;0;0;10;0;0
41;1771625209419,979966;0;0;10;0;0
42;1771625209482,055066;0;0;10;0;0
43;1771625209545,127966;0;0;10;0;0
44;1771625209607,224866;0;0;10;0;0
45;1771625209669,953166;0;0;10;0;0
46;1771625209732,216566;0;0;10;0;0
47;1771625209794,774066;0;0;10;0;0
48;1771625209857,455366;0;0;10;0;0
49;1771625209920,010266;0;0;10;0;0
50;1771625209982,391266;0;0;10;0;0
51;1771625210045,002566;0;0;10;0;0
52;1771625210107,561566;0;0;10;0;0
53;1771625210170,831366;0;0;10;0;0
54;1771625210232,595566;0;0;10;0;0
55;1771625210295,878266;0;0;10;0;0
56;1771625210358,180166;0;0;10;0;0
57;1771625210420,822566;0;2,58286561287554E-15;10;0;2,58286561287554E-15
58;1771625210485,991766;0;3,06443412312341E-11;10;0;3,06443412312341E-11
59;1771625210545,507566;0;6,56203624771479E-08;10;0;6,56203624771479E-08
60;1771625210608,470166;0;5,10675499754143E-06;10;0;5,10675499754143E-06
61;1771625210670,840566;0;0,000137650102260523;10;0;0,000137650102260523
62;1771625210733,378466;0;0,000519778928719461;10;0;0,000519778928719461
63;1771625210795,758966;0;0,00430747959762812;10;0;0,00430747959762812
64;1771625210858,553366;0;0,0186272319406271;10;0;0,0186272319406271
65;1771625210921,106166;0;0,043902188539505;10;0;0,043902188539505
66;1771625210984,348266;0;0,0570990405976772;10;0;0,0570990405976772
67;1771625211046,546166;0;0,0447584763169289;10;0;0,0447584763169289
68;1771625211109,085966;0;0,0373496413230896;10;0;0,0373496413230896
69;1771625211173,625466;0;0,0499226227402687;10;0;0,0499226227402687
70;1771625211234,513266;0;0,058445330709219;10;0;0,058445330709219
71;1771625211298,242966;0;0,0724357217550278;10;0;0,0724357217550278
72;1771625211360,122066;0;0,0821731239557266;10;0;0,0821731239557266
