Sample;X(ms) [18.02.2026 22:21:59 040 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
0;1771453315600,332283;0;0;4,51953411102295
1;1771453315663,186783;0;0;4,51953411102295
2;1771453315725,626783;0;0;4,51953411102295
3;1771453315787,749983;0;0;4,51953411102295
4;1771453315850,131083;0;0;4,51953458786011
5;1771453315913,262583;0;0;4,51953458786011
6;1771453315975,299183;0;0;4,51953458786011
7;1771453316036,931983;0;0;4,51953458786011
8;1771453316100,149483;0;0;4,51953458786011
9;1771453316165,689883;0;0;4,51953458786011
10;1771453316225,288583;0;0;4,51953458786011
11;1771453316287,316583;0;0;4,51953458786011
12;1771453316350,735883;0;0;4,51953458786011
13;1771453316413,445983;0;0;4,51953458786011
14;1771453316475,716483;0;0;4,51953458786011
15;1771453316537,688583;0;0;4,51953458786011
16;1771453316600,956883;0;0;4,51953458786011
17;1771453316664,188583;0;0;4,51953458786011
18;1771453316726,245483;0;0;4,51953458786011
19;1771453316788,302283;0;0;4,51953458786011
20;1771453316851,798183;0;0;4,51953458786011
21;1771453316915,348783;0;0;4,51953458786011
22;1771453316975,826083;0;0;4,51953458786011
23;1771453317038,756883;0;0;4,51953458786011
24;1771453317101,336083;0;0;4,51953458786011
25;1771453317165,124483;0;0;4,51953458786011
26;1771453317228,182583;0;0;4,51953458786011
27;1771453317288,739783;0;0;4,51953458786011
28;1771453317352,447983;0;0;4,51953458786011
29;1771453317414,814983;0;0;4,51953458786011
30;1771453317477,178283;0;0;4,51953458786011
31;1771453317539,396383;0;0;4,51953458786011
32;1771453317601,671383;0;0;4,51953458786011
33;1771453317665,990383;0;0;4,51953458786011
34;1771453317727,340783;0;0;4,51953458786011
35;1771453317790,345183;0;0;4,51953458786011
36;1771453317852,103483;0;0;4,51953458786011
37;1771453317914,653283;0;0;4,51953458786011
38;1771453317978,461683;0;0;4,51953458786011
39;1771453318039,433483;0;0;4,51953458786011
40;1771453318102,355983;0;0;4,51953458786011
41;1771453318166,413983;0;0;4,51953458786011
42;1771453318227,611383;0;0;4,51953458786011
43;1771453318289,641783;0;0;4,51953458786011
44;1771453318353,359183;0;0;4,51953458786011
45;1771453318414,685783;0;0;4,51953458786011
46;1771453318478,651083;0;0;4,51953458786011
47;1771453318539,630083;0;1,90205483470689E-14;4,51953458786011
48;1771453318602,763583;0;8,56701376505953E-11;4,51953458786011
49;1771453318664,972883;0;2,03310634994125E-09;4,51953458786011
50;1771453318727,643883;0;3,11519102069724E-07;4,51953458786011
51;1771453318789,983683;0;1,36988037411356E-05;4,51953458786011
52;1771453318852,483683;0;0,000239262619288638;4,51953458786011
53;1771453318915,016883;0;0,00197936687618494;4,51953411102295
54;1771453318977,757683;0;0,0085253594443202;4,51953411102295
55;1771453319040,092083;0;0,0199108142405748;4,51953220367432
56;1771453319102,430483;0;0,0254102069884539;4,51952743530273
57;1771453319165,989783;0;0,0193752236664295;4,51952219009399
58;1771453319228,075383;0;0,016596831381321;4,51951837539673
59;1771453319290,079883;0;0,0191369224339724;4,51951551437378
60;1771453319358,823083;0;0,0248012226074934;4,51951217651367
61;1771453319415,809583;0;0,0299466382712126;4,51950788497925
62;1771453319479,245783;0;0,0383052825927734;4,51950216293335
63;1771453319540,495283;0;0,0378988496959209;4,51949548721313
64;1771453319603,927283;0;0,0324396602809429;4,51948881149292
65;1771453319665,468083;0;0,0324431620538235;4,51948404312134
66;1771453319728,009483;0;0,0365031212568283;4,51947927474976
67;1771453319791,029783;0;0,0362452231347561;4,51947355270386
68;1771453319853,007783;0;0,0363679453730583;4,51946830749512
69;1771453319916,238083;0;0,0372760258615017;4,51946353912354
70;1771453319978,760483;4,42429914658039E-15;0,03883146494627;4,51945877075195
71;1771453320040,407083;5,95333352927663E-13;0,0412006489932537;4,51945400238037
72;1771453320104,168583;3,75287266540791E-11;0,0415235348045826;4,51944875717163
73;1771453320174,743283;1,18691501072021E-09;0,043986402451992;4,51944351196289
74;1771453320228,778283;2,13948272431708E-08;0,045798659324646;4,51943826675415
75;1771453320290,769783;7,69596226746216E-08;0,0470739156007767;4,51943254470825
76;1771453320353,811283;7,62035028856189E-07;0,0509722493588924;4,51942729949951
77;1771453320415,956783;5,51316634300747E-06;0,0527016445994377;4,51942110061646
78;1771453320478,577883;2,98277536785463E-05;0,0570816211402416;4,5194149017334
79;1771453320540,843383;0,000122418598039076;0,0610820092260838;4,51940822601318
80;1771453320603,556683;0,000386369705665857;0,0612749829888344;4,51940059661865
81;1771453320666,919883;0,00094784633256495;0,0601434446871281;4,51939344406128
82;1771453320728,647583;0,00181519007310271;0,0606808476150036;4,51938724517822
83;1771453320790,987683;0,00228687841445208;0,0614077039062977;4,51938056945801
84;1771453320853,963083;0,0029883598908782;0,0644844174385071;4,51937437057495
85;1771453320916,464183;0,00299787614494562;0,0712548494338989;4,51936769485474
86;1771453320979,417783;0,00245979777537286;0,0709582567214966;4,51935958862305
87;1771453321041,448083;0,00225332472473383;0,0684501081705093;4,51935195922852
88;1771453321105,046983;0,00306321308016777;0,0693894773721695;4,51934576034546
89;1771453321166,905783;0,00453252904117107;0,0705145448446274;4,51933908462524
90;1771453321229,766183;0,00550578627735376;0,0726283639669418;4,51933288574219
91;1771453321291,896683;0,00549818342551589;0,0737335681915283;4,51932573318481
92;1771453321355,227283;0,00446650292724371;0,0780259370803833;4,5193190574646
93;1771453321417,772383;0,0040118102915585;0,0774537175893784;4,51931190490723
94;1771453321480,298383;0,00422374065965414;0,0776309221982956;4,51930522918701
95;1771453321542,931483;0,00500498339533806;0,0824189558625221;4,51929903030396
96;1771453321604,789683;0,00567685859277844;0,0836649239063263;4,51929187774658
97;1771453321668,229583;0,00580282649025321;0,0858549028635025;4,51928472518921
98;1771453321729,558083;0,00566523987799883;0,0869179666042328;4,51927709579468
99;1771453321791,989183;0,00586132472380996;0,0889495089650154;4,5192699432373
100;1771453321855,324283;0,00606900965794921;0,09093027561903;4,51926279067993
