Sample;X(ms) [18.02.2026 22:06:24 630 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
0;1771452381377,811947;0;0;10
1;1771452381441,302347;0;0;10
2;1771452381503,253047;0;0;10
3;1771452381574,995647;0;0;10
4;1771452381628,779847;0;0;10
5;1771452381694,537847;0;0;10
6;1771452381754,174447;0;0;10
7;1771452381815,834847;0;0;10
8;1771452381877,706847;0;0;10
9;1771452381940,895447;0;0;10
10;1771452382004,140647;0;0;10
11;1771452382066,254547;0;0;10
12;1771452382128,311747;0;0;10
13;1771452382191,452747;0;0;10
14;1771452382253,995647;0;0;10
15;1771452382315,857447;0;0;10
16;1771452382378,715447;0;0;10
17;1771452382445,330647;0;0;10
18;1771452382504,185947;0;0;10
19;1771452382566,353047;0;0;10
20;1771452382628,527447;0;0;10
21;1771452382692,709947;0;0;10
22;1771452382754,554447;0;0;10
23;1771452382818,038347;0;0;10
24;1771452382880,036047;0;0;10
25;1771452382953,464947;0;0;10
26;1771452383005,743147;0;0;10
27;1771452383068,813647;0;0;10
28;1771452383129,792047;0;0;10
29;1771452383192,349347;0;0;10
30;1771452383255,946047;0;0;10
31;1771452383318,229947;0;0;10
32;1771452383380,466747;0;0;10
33;1771452383443,188547;0;0;10
34;1771452383505,398647;0;0;10
35;1771452383569,773047;0;0;10
36;1771452383635,283447;0;0;10
37;1771452383693,103147;0;0;10
38;1771452383757,169247;0;0;10
39;1771452383818,430747;0;0;10
40;1771452383880,517647;0;0;10
41;1771452383942,507947;0;0;10
42;1771452384006,733547;0;0;10
43;1771452384071,347147;0;0;10
44;1771452384130,743647;0;0;10
45;1771452384193,131647;0;2,58286561287554E-15;10
46;1771452384255,747647;0;1,85341103575709E-10;10
47;1771452384319,208047;0;1,78822325835881E-08;10
48;1771452384381,215847;0;5,10484778715181E-06;10
49;1771452384442,842647;0;1,26970144265215E-05;10
50;1771452384505,555647;0;0,000519662455189973;10
51;1771452384568,410747;0;0,00430766865611076;10
52;1771452384630,583147;0;0,0136913945898414;10
53;1771452384695,184247;0;0,0439521595835686;10
54;1771452384762,785647;0;0,0565781518816948;10
55;1771452384821,283647;0;0,0491128526628017;10
56;1771452384883,632247;0;0,0374695658683777;10
57;1771452384945,217147;0;0,0430520661175251;10
58;1771452385014,170247;0;0,0612819083034992;10
59;1771452385071,025847;0;0,0681620165705681;10
60;1771452385132,549247;0;0,0865384042263031;10
61;1771452385194,805647;0;0,0869420915842056;10
62;1771452385257,900947;0;0,0754850804805756;10
63;1771452385321,150247;0;0,0770015865564346;10
64;1771452385382,707347;0;0,0835335552692413;10
65;1771452385445,863247;0;0,0840395018458366;10
66;1771452385508,499647;0;0,0842481702566147;10
67;1771452385571,167247;0;0,0861062780022621;10
68;1771452385633,103347;6,71580617790765E-15;0,0899301320314407;10
69;1771452385701,532347;1,32799608983103E-12;0,0952721163630486;10
70;1771452385759,242047;7,71731220594596E-11;0,0965736657381058;10
71;1771452385822,467047;4,16043999251769E-09;0,103289447724819;10
72;1771452385883,960247;3,34572263227528E-08;0,106392495334148;10
73;1771452385946,148847;4,1770078951231E-07;0,113924361765385;10
74;1771452386008,723047;1,28950102862291E-06;0,118061892688274;10
75;1771452386073,177247;9,16760473046452E-06;0,122629761695862;10
76;1771452386135,578947;4,71487401227932E-05;0,132332742214203;10
77;1771452386197,642947;0,000192302308278158;0,141692504286766;10
78;1771452386259,811347;0,000618200050666928;0,142917856574059;10
79;1771452386323,383147;0,00149157596752048;0,140581876039505;10
80;1771452386386,528547;0,002739715622738;0,141867831349373;10
81;1771452386447,308747;0,00404226593673229;0,145937874913216;10
82;1771452386509,891847;0,00451078405603766;0,150771230459213;10
83;1771452386572,774647;0,00445958040654659;0,165821135044098;10
84;1771452386637,000047;0,00329643720760942;0,166420385241508;10
85;1771452386698,580747;0,00331785972230136;0,161140218377113;10
86;1771452386760,303747;0,00543505931273103;0,162865996360779;10
87;1771452386825,302147;0,00729453703388572;0,166048049926758;10
88;1771452386886,259747;0,00805976055562496;0,170868635177612;10
89;1771452386948,499247;0,00815272238105536;0,177603796124458;10
90;1771452387010,468647;0,0068883984349668;0,183974295854568;10
91;1771452387080,144347;0,00621477235108614;0,181448116898537;10
92;1771452387135,776947;0,00679684849455953;0,183521062135696;10
93;1771452387198,099947;0,00848693680018187;0,193840458989143;10
94;1771452387260,595847;0,00894106552004814;0,197798684239388;10
95;1771452387323,694247;0,00900195632129908;0,202690646052361;10
96;1771452387387,388147;0,00946682784706354;0,205809220671654;10
97;1771452387448,958747;0,00969012454152107;0,211514547467232;10
98;1771452387510,992247;0,0101252738386393;0,218610882759094;10
99;1771452387575,650047;0,0108518144115806;0,22022457420826;10
100;1771452387636,683847;0,0112828407436609;0,222177237272263;10
