Sample;X(ms) [15.02.2026 04:18:44 862 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
116;1771129126801,770926;0,00121730600949377;0,0709709525108337;4,0472526550293
117;1771129126865,972826;0,00127086078282446;0,0612346939742565;4,17768621444702
118;1771129126925,976526;0,00139919039793313;0,0613212957978249;4,05677890777588
119;1771129126990,539826;0,00170280388556421;0,065300740301609;3,77020454406738
120;1771129127052,705226;0,00212987395934761;0,0676164627075195;3,56803607940674
121;1771129127114,139926;0,00248559541068971;0,0693738609552383;3,68596792221069
122;1771129127177,659026;0,00265002553351223;0,0744705498218536;4,00152397155762
123;1771129127240,830026;0,00271465070545673;0,0717193260788918;4,16742134094238
124;1771129127304,155726;0,00283502019010484;0,0709122642874718;4,07765340805054
125;1771129127365,935326;0,00301336450502276;0,0755184665322304;3,98412322998047
126;1771129127428,575426;0,00329793174751103;0,0802460983395576;3,81091141700745
127;1771129127490,849326;0,00354667333886027;0,0791546627879143;3,8709762096405
128;1771129127553,485526;0,00372397690080106;0,0809490904211998;3,98974013328552
129;1771129127615,355626;0,0039088181219995;0,0815513506531715;3,97894620895386
130;1771129127677,762426;0,00410741288214922;0,0861911699175835;3,9578218460083
131;1771129127740,276226;0,00433122646063566;0,0875282064080238;3,91780996322632
132;1771129127803,339126;0,00460311770439148;0,0864698439836502;3,84003186225891
133;1771129127865,918026;0,0048679830506444;0,0882704257965088;3,85287284851074
134;1771129127928,532226;0,00513223558664322;0,0902177691459656;3,85495400428772
135;1771129127990,545126;0,00544173875823617;0,0878567099571228;3,78181266784668
136;1771129128053,799026;0,00578940520063043;0,0913004875183105;3,71995854377747
137;1771129128117,228226;0,00613791262730956;0,0931021720170975;3,71943950653076
138;1771129128178,014926;0,00644889427348971;0,0954522415995598;3,78207778930664
139;1771129128240,831226;0,00671507697552443;0,0979177430272102;3,85673785209656
140;1771129128303,396726;0,00696553196758032;0,0951908081769943;3,88381862640381
141;1771129128366,162426;0,00721193570643663;0,0943213924765587;3,8917407989502
142;1771129128429,710826;0,00754223065450788;0,0950436219573021;3,75491857528687
143;1771129128491,276126;0,00795726291835308;0,0983902812004089;3,61647391319275
144;1771129128553,445326;0,00834633968770504;0,103378921747208;3,65980529785156
145;1771129128618,295026;0,00862283073365688;0,104762628674507;3,84565162658691
146;1771129128678,243826;0,0087932925671339;0,103373982012272;4,02127075195313
147;1771129128741,348426;0,00899322703480721;0,103040672838688;3,97440147399902
148;1771129128809,998526;0,00932149868458509;0,103579662740231;3,7646017074585
149;1771129128866,274426;0,00972152501344681;0,107198879122734;3,64754199981689
150;1771129128928,662526;0,0100911622866988;0,109410978853703;3,69809150695801
151;1771129128990,393126;0,010404665954411;0,111921571195126;3,79133081436157
152;1771129129054,456126;0,0106645114719868;0,113029353320599;3,88048648834229
153;1771129129115,926626;0,0109278876334429;0,111895024776459;3,87590599060059
154;1771129129180,376226;0,0112816262990236;0,11154206097126;3,72851085662842
155;1771129129242,140226;0,0116743659600616;0,113706640899181;3,66508722305298
156;1771129129303,750526;0,0120287761092186;0,115855619311333;3,72880458831787
157;1771129129366,760126;0,0123729407787323;0,118367105722427;3,74638700485229
158;1771129129428,840826;0,0127171007916331;0,118912667036057;3,74733877182007
159;1771129129492,700326;0,0130843780934811;0,11855611205101;3,7102358341217
160;1771129129553,209526;0,0134417852386832;0,119366474449635;3,72707676887512
161;1771129129615,872626;0,0138085717335343;0,120852567255497;3,71257305145264
162;1771129129677,447126;0,0141455801203847;0,122017234563828;3,76226949691772
163;1771129129741,533126;0,0144479423761368;0,122907154262066;3,82013058662415
164;1771129129803,940326;0,0147949978709221;0,123426467180252;3,74759483337402
165;1771129129866,217126;0,0151759060099721;0,124412715435028;3,69282102584839
166;1771129129928,030126;0,0155498888343573;0,125256225466728;3,70479536056519
167;1771129129992,654726;0,0159317050129175;0,12745688855648;3,69266986846924
168;1771129130055,716526;0,016261188313365;0,129949375987053;3,77956867218018
169;1771129130117,863226;0,0165505539625883;0,130436733365059;3,84638142585754
170;1771129130180,299226;0,0168476998806;0,129443004727364;3,83460378646851
171;1771129130242,928226;0,0171946901828051;0,129712790250778;3,75374722480774
172;1771129130305,750126;0,0176168568432331;0,131813421845436;3,63080501556396
173;1771129130368,059926;0,0180429667234421;0,135476529598236;3,62485074996948
174;1771129130430,275626;0,018425639718771;0,137323558330536;3,69685029983521
175;1771129130494,345026;0,0187537930905819;0,138579800724983;3,78727030754089
176;1771129130556,194826;0,0190615281462669;0,137120470404625;3,82171750068665
177;1771129130617,431926;0,0194240920245647;0,136178538203239;3,73247599601746
178;1771129130679,918726;0,0198408477008343;0,136840537190437;3,64408540725708
179;1771129130742,500926;0,0202524606138468;0,139244511723518;3,6530556678772
180;1771129130805,681626;0,0206441916525364;0,143050983548164;3,6863694190979
181;1771129130868,561226;0,0210036616772413;0,14409139752388;3,74006700515747
182;1771129130931,361526;0,0213522557169199;0,143496006727219;3,75878477096558
