Sample;X(ms) [20.02.2026 22:02:12 199 UTC];"l1_ruido[%MD168]";"l2_ruido[%MD172]";"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
1;1771624928257,647296;0;0;10;0;0
2;1771624928320,862396;0;0;10;0;0
3;1771624928382,505896;0;0;10;0;0
4;1771624928445,087696;0;0;10;0;0
5;1771624928507,770596;0;0;10;0;0
6;1771624928570,076496;0;0;10;0;0
7;1771624928634,255196;0;0;10;0;0
8;1771624928695,832796;0;0;10;0;0
9;1771624928758,135996;0;0;10;0;0
10;1771624928821,483996;0;0;10;0;0
11;1771624928883,340696;0;0;10;0;0
12;1771624928945,724296;0;0;10;0;0
13;1771624929008,268796;0;0;10;0;0
14;1771624929070,905296;0;0;10;0;0
15;1771624929133,354196;0;0;10;0;0
16;1771624929196,043596;0;0;10;0;0
17;1771624929259,528896;0;0;10;0;0
18;1771624929321,933896;0;0;10;0;0
19;1771624929385,613496;0;0;10;0;0
20;1771624929447,069896;0;0;10;0;0
21;1771624929511,582496;0;0;10;0;0
22;1771624929572,280396;0;0;10;0;0
23;1771624929635,425196;0;0;10;0;0
24;1771624929697,476996;0;0;10;0;0
25;1771624929760,407696;0;0;10;0;0
26;1771624929822,604396;0;0;10;0;0
27;1771624929885,231696;0;0;10;0;0
28;1771624929947,643196;0;0;10;0;0
29;1771624930010,815496;0;0;10;0;0
30;1771624930073,574296;0;0;10;0;0
31;1771624930135,145896;0;0;10;0;0
32;1771624930199,499296;0;0;10;0;0
33;1771624930260,529196;0;0;10;0;0
34;1771624930322,995096;0;0;10;0;0
35;1771624930385,354596;0;0;10;0;0
36;1771624930449,107496;0;0;10;0;0
37;1771624930512,550996;0;0;10;0;0
38;1771624930574,193396;0;0;10;0;0
39;1771624930635,929696;0;0;10;0;0
40;1771624930698,955696;0;0;10;0;0
41;1771624930761,076196;0;0;10;0;0
42;1771624930823,287196;0;0;10;0;0
43;1771624930885,684596;0;0;10;0;0
44;1771624930948,832996;0;0;10;0;0
45;1771624931011,132896;0;0;10;0;0
46;1771624931073,740396;0;0;10;0;0
47;1771624931135,908696;0;0;10;0;0
48;1771624931199,296596;0;0;10;0;0
49;1771624931262,089296;0;0;10;0;0
50;1771624931323,872296;0;0;10;0;0
51;1771624931386,724196;0;0;10;0;0
52;1771624931448,952596;0;0;10;0;0
53;1771624931511,921296;0;0;10;0;0
54;1771624931574,232496;0;0;10;0;0
55;1771624931637,585496;0;0;10;0;0
56;1771624931699,242296;0;0;10;0;0
57;1771624931762,038996;0;4,76041081554079E-13;10;0;4,76041081554079E-13
58;1771624931824,616596;0;9,64102131462141E-10;10;0;9,64102131462141E-10
59;1771624931887,418396;0;2,19393726297312E-07;10;0;2,19393726297312E-07
60;1771624931949,565396;0;1,9225335563533E-06;10;0;1,9225335563533E-06
61;1771624932012,930396;0;6,56768752378412E-05;10;0;6,56768752378412E-05
62;1771624932074,994096;0;0,000940770318266004;10;0;0,000940770318266004
63;1771624932137,864396;0;0,00658247200772166;10;0;0,00658247200772166
64;1771624932199,999096;0;0,0244012363255024;10;0;0,0244012363255024
65;1771624932262,437896;0;0,0495364777743816;10;0;0,0495364777743816
66;1771624932325,284696;0;0,0557956881821156;10;0;0,0557956881821156
67;1771624932388,386596;0;0,0410372093319893;10;0;0,0410372093319893
68;1771624932450,343496;0;0,0399181991815567;10;0;0,0399181991815567
69;1771624932512,793296;0;0,0464225299656391;10;0;0,0464225299656391
70;1771624932575,399396;0;0,0584400966763496;10;0;0,0584400966763496
71;1771624932638,295096;0;0,0724278092384338;10;0;0,0724278092384338
72;1771624932700,763896;0;0,0890891700983047;10;0;0,0890891700983047
73;1771624932763,152796;0;0,0788268968462944;10;0;0,0788268968462944
74;1771624932827,427296;0;0,0716939270496368;10;0;0,0716939270496368
75;1771624932888,578396;0;0,0793843343853951;10;0;0,0793843343853951
76;1771624932950,791996;0;0,0840704143047333;10;0;0,0840704143047333
77;1771624933014,548896;0;0,0838762819766998;10;0;0,0838762819766998
78;1771624933076,365496;0;0,0847764164209366;10;0;0,0847764164209366
79;1771624933138,669596;2,19103110962123E-16;0,0870160609483719;10;2,19103110962123E-16;0,0870160609483719
80;1771624933201,327596;7,36633383414606E-14;0,0926726758480072;10;7,36633383414606E-14;0,0926726758480072
81;1771624933264,152096;6,47689107208249E-12;0,0954395607113838;10;6,47689107208249E-12;0,0954395607113838
82;1771624933326,369796;2,80649142814227E-10;0,0982975885272026;10;2,80649142814227E-10;0,0982975885272026
83;1771624933389,856196;7,20765624961928E-09;0,103890992701054;10;7,20765624961928E-09;0,103890992701054
84;1771624933452,343896;1,16803441585489E-07;0,108899407088757;10;1,16803441585489E-07;0,108899407088757
85;1771624933514,266096;3,98110131527574E-07;0,113361112773418;10;3,98110131527574E-07;0,113361112773418
86;1771624933577,005496;3,40752808369871E-06;0,119938008487225;10;3,40752808369871E-06;0,119938008487225
87;1771624933639,937996;2,05724682018626E-05;0,12587434053421;10;2,05724682018626E-05;0,12587434053421
88;1771624933702,707696;9,35162097448483E-05;0,137329265475273;10;9,35162097448483E-05;0,137329265475273
89;1771624933764,700196;0,000331226852722466;0,142396464943886;10;0,000331226852722466;0,142396464943886
90;1771624933827,470196;0,000919866550248116;0,140962541103363;10;0,000919866550248116;0,140962541103363
91;1771624933891,026096;0,0019983088131994;0,13982155919075;10;0,0019983088131994;0,13982155919075
92;1771624933952,782496;0,00338564533740282;0,14273276925087;10;0,00338564533740282;0,14273276925087
93;1771624934016,812096;0,00400439323857427;0,14509841799736;10;0,00400439323857427;0,14509841799736
94;1771624934077,818896;0,0045645940117538;0,157577887177467;10;0,0045645940117538;0,157577887177467
95;1771624934141,056696;0,00391750875860453;0,167716920375824;10;0,00391750875860453;0,167716920375824
96;1771624934202,597696;0,00306776142679155;0,16177374124527;10;0,00306776142679155;0,16177374124527
97;1771624934265,287196;0,00398755492642522;0,160739466547966;10;0,00398755492642522;0,160739466547966
98;1771624934327,969596;0,00642310595139861;0,163073241710663;10;0,00642310595139861;0,163073241710663
99;1771624934389,982796;0,00783181376755238;0,167461276054382;10;0,00783181376755238;0,167461276054382
100;1771624934453,024596;0,00786483474075794;0,172464326024055;10;0,00786483474075794;0,172464326024055
101;1771624934515,202496;0,007701410446316;0,176481693983078;10;0,007701410446316;0,176481693983078
102;1771624934577,922196;0,00686880527064204;0,182802349328995;10;0,00686880527064204;0,182802349328995
103;1771624934640,024096;0,00613907957449555;0,180243983864784;10;0,00613907957449555;0,180243983864784
104;1771624934702,557996;0,00740755815058947;0,187562599778175;10;0,00740755815058947;0,187562599778175
105;1771624934765,646796;0,00891768559813499;0,195157244801521;10;0,00891768559813499;0,195157244801521
106;1771624934829,266696;0,00868566520512104;0,199969246983528;10;0,00868566520512104;0,199969246983528
107;1771624934891,454996;0,00883032381534576;0,20327539741993;10;0,00883032381534576;0,20327539741993
108;1771624934953,149596;0,00935579370707273;0,205655142664909;10;0,00935579370707273;0,205655142664909
109;1771624935015,764196;0,00949570536613464;0,209005132317543;10;0,00949570536613464;0,209005132317543
110;1771624935078,675496;0,00988532043993473;0,216618999838829;10;0,00988532043993473;0,216618999838829
111;1771624935141,252996;0,0105530330911279;0,218447268009186;10;0,0105530330911279;0,218447268009186
112;1771624935203,631496;0,0113599756732583;0,222877666354179;10;0,0113599756732583;0,222877666354179
113;1771624935265,746596;0,0120897954329848;0,226460099220276;10;0,0120897954329848;0,226460099220276
114;1771624935328,514196;0,0129034919664264;0,225975826382637;10;0,0129034919664264;0,225975826382637
115;1771624935391,633696;0,0139192128553987;0,230594918131828;10;0,0139192128553987;0,230594918131828
116;1771624935453,639796;0,0145652359351516;0,234315291047096;10;0,0145652359351516;0,234315291047096
117;1771624935515,854596;0,01484405528754;0,236545637249947;10;0,01484405528754;0,236545637249947
118;1771624935578,621496;0,015144569799304;0,243988007307053;10;0,015144569799304;0,243988007307053
119;1771624935641,302696;0,0150825046002865;0,24694649875164;10;0,0150825046002865;0,24694649875164
120;1771624935703,540796;0,0156227145344019;0,247260898351669;10;0,0156227145344019;0,247260898351669
121;1771624935765,995296;0,0169389937072992;0,248998448252678;10;0,0169389937072992;0,248998448252678
122;1771624935829,350096;0,0182644501328468;0,253337860107422;10;0,0182644501328468;0,253337860107422
123;1771624935892,421196;0,0189278889447451;0,260732024908066;10;0,0189278889447451;0,260732024908066
124;1771624935954,384196;0,018783999606967;0,265654414892197;10;0,018783999606967;0,265654414892197
125;1771624936016,375196;0,0183374155312777;0,26710456609726;10;0,0183374155312777;0,26710456609726
126;1771624936080,437896;0,0179649163037539;0,270379185676575;10;0,0179649163037539;0,270379185676575
127;1771624936142,375296;0,0192933194339275;0,273957073688507;10;0,0192933194339275;0,273957073688507
128;1771624936204,777496;0,0205758512020111;0,278291553258896;10;0,0205758512020111;0,278291553258896
129;1771624936267,095796;0,0214290209114552;0,283638507127762;10;0,0214290209114552;0,283638507127762
130;1771624936329,493396;0,0219426434487104;0,287037223577499;10;0,0219426434487104;0,287037223577499
131;1771624936392,766296;0,0220768600702286;0,290745377540588;10;0,0220768600702286;0,290745377540588
132;1771624936454,917196;0,0223021320998669;0,293914586305618;10;0,0223021320998669;0,293914586305618
133;1771624936516,895196;0,0235844198614359;0,297555416822433;10;0,0235844198614359;0,297555416822433
134;1771624936579,878196;0,0243445076048374;0,299820095300674;10;0,0243445076048374;0,299820095300674
135;1771624936642,428096;0,0249678362160921;0,303040862083435;10;0,0249678362160921;0,303040862083435
136;1771624936705,389896;0,0253937374800444;0,306131392717361;10;0,0253937374800444;0,306131392717361
137;1771624936768,458396;0,0262651443481445;0,309634536504745;10;0,0262651443481445;0,309634536504745
138;1771624936831,803896;0,0270043145865202;0,312545627355576;10;0,0270043145865202;0,312545627355576
139;1771624936892,946196;0,0279330220073462;0,318159818649292;10;0,0279330220073462;0,318159818649292
140;1771624936955,450196;0,0283166579902172;0,321423143148422;10;0,0283166579902172;0,321423143148422
141;1771624937017,590096;0,0288211051374674;0,325206339359283;10;0,0288211051374674;0,325206339359283
142;1771624937080,620596;0,029093099758029;0,327014863491058;10;0,029093099758029;0,327014863491058
143;1771624937143,307296;0,0295815262943506;0,33017772436142;10;0,0295815262943506;0,33017772436142
144;1771624937209,253796;0,0303745660930872;0,333497613668442;10;0,0303745660930872;0,333497613668442
145;1771624937268,237696;0,0315264761447906;0,337190985679626;10;0,0315264761447906;0,337190985679626
146;1771624937330,957096;0,0322069860994816;0,341292440891266;10;0,0322069860994816;0,341292440891266
147;1771624937393,523196;0,0325853638350964;0,346467822790146;10;0,0325853638350964;0,346467822790146
148;1771624937455,823596;0,0328495278954506;0,350466817617416;10;0,0328495278954506;0,350466817617416
149;1771624937519,282196;0,0332143865525723;0,353326261043549;10;0,0332143865525723;0,353326261043549
150;1771624937581,517396;0,0336647517979145;0,354937255382538;10;0,0336647517979145;0,354937255382538
151;1771624937643,365596;0,034931655973196;0,358468234539032;10;0,034931655973196;0,358468234539032
152;1771624937706,710296;0,0360804945230484;0,362147748470306;10;0,0360804945230484;0,362147748470306
153;1771624937768,686496;0,0367990918457508;0,366369336843491;10;0,0367990918457508;0,366369336843491
