Sample;X(ms) [20.02.2026 21:49:10 995 UTC];"l1_ruido[%MD168]";"l2_ruido[%MD172]";"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
45;1771624150995,343563;0;0,0186320543289185;10;0;0,0186320543289185
46;1771624151057,943563;0;0,0439039096236229;10;0;0,0439039096236229
47;1771624151121,556963;0;0,0570935867726803;10;0;0,0570935867726803
48;1771624151185,041263;0;0,0447567887604237;10;0;0,0447567887604237
49;1771624151245,882363;0;0,0379212126135826;10;0;0,0379212126135826
50;1771624151308,206263;0;0,0499234311282635;10;0;0,0499234311282635
51;1771624151370,962563;0;0,061100248247385;10;0;0,061100248247385
52;1771624151433,871963;0;0,0679718479514122;10;0;0,0679718479514122
53;1771624151496,096763;0;0,0863002389669418;10;0;0,0863002389669418
54;1771624151558,627763;0;0,0866304188966751;10;0;0,0866304188966751
55;1771624151623,747163;0;0,071692980825901;10;0;0,071692980825901
56;1771624151684,836063;0;0,0767069235444069;10;0;0,0767069235444069
57;1771624151746,093363;0;0,0839408338069916;10;0;0,0839408338069916
58;1771624151809,681863;0;0,0836495906114578;10;0;0,0836495906114578
59;1771624151871,973463;0;0,0842913910746574;10;0;0,0842913910746574
60;1771624151934,839763;1,6919029826429E-17;0,0862545147538185;10;1,6919029826429E-17;0,0862545147538185
61;1771624152001,362263;2,36512605290493E-14;0,0911143943667412;10;2,36512605290493E-14;0,0911143943667412
62;1771624152058,722463;2,35036512821751E-12;0,095258891582489;10;2,35036512821751E-12;0,095258891582489
63;1771624152121,599663;1,14872951428868E-10;0,0969934090971947;10;1,14872951428868E-10;0,0969934090971947
64;1771624152184,563963;3,17261861226825E-09;0,102783344686031;10;3,17261861226825E-09;0,102783344686031
65;1771624152246,320763;5,45581464450606E-08;0,107166059315205;10;5,45581464450606E-08;0,107166059315205
66;1771624152309,137563;6,26053974883689E-07;0,115600548684597;10;6,26053974883689E-07;0,115600548684597
67;1771624152372,506863;1,8532620060796E-06;0,118898048996925;10;1,8532620060796E-06;0,118898048996925
68;1771624152435,633763;1,27638386402396E-05;0,123641036450863;10;1,27638386402396E-05;0,123641036450863
69;1771624152498,002163;6,578050670214E-05;0,134679988026619;10;6,578050670214E-05;0,134679988026619
70;1771624152559,790963;0,000258482585195452;0,141936272382736;10;0,000258482585195452;0,141936272382736
71;1771624152623,024563;0,000771987019106746;0,141634866595268;10;0,000771987019106746;0,141634866595268
72;1771624152685,229563;0,00174870761111379;0,139628991484642;10;0,00174870761111379;0,139628991484642
73;1771624152747,806463;0,00305982562713325;0,141878753900528;10;0,00305982562713325;0,141878753900528
74;1771624152809,688263;0,00422356510534883;0,147105485200882;10;0,00422356510534883;0,147105485200882
75;1771624152873,049463;0,00452262628823519;0,153519719839096;10;0,00452262628823519;0,153519719839096
76;1771624152935,679263;0,00419175950810313;0,167042657732964;10;0,00419175950810313;0,167042657732964
77;1771624152997,797563;0,00319439265877008;0,163503214716911;10;0,00319439265877008;0,163503214716911
78;1771624153060,649563;0,00359124294482172;0,160285845398903;10;0,00359124294482172;0,160285845398903
79;1771624153123,851063;0,00591320591047406;0,16241443157196;10;0,00591320591047406;0,16241443157196
80;1771624153186,833463;0,00769841717556119;0,166221469640732;10;0,00769841717556119;0,166221469640732
81;1771624153249,053763;0,00798871647566557;0,171002313494682;10;0,00798871647566557;0,171002313494682
