Sample;X(ms) [20.02.2026 02:05:07 125 UTC];"l1_ruido[%MD168]";"l2_ruido[%MD172]";"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
0;1771553103620,095176;0,0171455629169941;0,0171455629169941;10;0;0
1;1771553103682,435776;0,0741022750735283;0,0741022750735283;10;0;0
2;1771553103744,942776;0,0804923176765442;0,0804923176765442;10;0;0
3;1771553103807,326276;-0,000447589176474139;-0,000447589176474139;10;0;0
4;1771553103869,871676;0,0353325270116329;0,0353325270116329;10;0;0
5;1771553103932,476376;-0,0481992177665234;-0,0481992177665234;10;0;0
6;1771553103994,933776;-0,0947949066758156;-0,0947949066758156;10;0;0
7;1771553104058,434876;-0,0125266257673502;-0,0125266257673502;10;0;0
8;1771553104120,301876;0,0498183369636536;0,0498183369636536;10;0;0
9;1771553104183,109176;-0,0977569445967674;-0,0977569445967674;10;0;0
10;1771553104245,492676;0,081193245947361;0,081193245947361;10;0;0
11;1771553104308,181176;0,0832106620073318;0,0832106620073318;10;0;0
12;1771553104371,675476;-0,00768140563741326;-0,00768140563741326;10;0;0
13;1771553104433,140676;0,0379544869065285;0,0379544869065285;10;0;0
14;1771553104495,676276;0,0240847822278738;0,0240847822278738;10;0;0
15;1771553104558,359376;0,0666875168681145;0,0666875168681145;10;0;0
16;1771553104621,334276;0,0874359160661697;0,0874359160661697;10;0;0
17;1771553104684,311776;-0,0826230421662331;-0,0826230421662331;10;0;0
18;1771553104745,757076;-0,0840580090880394;-0,0840580090880394;10;0;0
19;1771553104809,060576;0,0209043622016907;0,0209043622016907;10;0;0
20;1771553104871,236976;0,00170118815731257;0,00170118815731257;10;0;0
21;1771553104934,152076;0,0500443950295448;0,0500443950295448;10;0;0
22;1771553104995,835376;0,0442295782268047;0,0442295782268047;10;0;0
23;1771553105059,740876;-0,0410772040486336;-0,0410772040486336;10;0;0
24;1771553105121,504776;-0,081499956548214;-0,081499956548214;10;0;0
25;1771553105185,753776;0,0263984929770231;0,0263984929770231;10;0;0
26;1771553105246,332376;0,0366761796176434;0,0366761796176434;10;0;0
27;1771553105310,250676;-0,0754258185625076;-0,0754258185625076;10;0;0
28;1771553105372,867376;-0,0255510397255421;-0,0255510397255421;10;0;0
29;1771553105434,662876;-0,0350064821541309;-0,0350064821541309;10;0;0
30;1771553105496,837576;0,0439646020531654;0,0439646020531654;10;0;0
31;1771553105560,084276;-0,00602750806137919;-0,00602750806137919;10;0;0
32;1771553105622,119876;-0,0517283789813519;-0,0517283789813519;10;0;0
33;1771553105684,600476;-0,0951186344027519;-0,0951186344027519;10;0;0
34;1771553105746,901276;-0,0725698247551918;-0,0725698247551918;10;0;0
35;1771553105810,029676;0,0555996894836426;0,0555996894836426;10;0;0
36;1771553105872,700476;0,037511121481657;0,037511121481657;10;0;0
37;1771553105934,761976;-0,0434006527066231;-0,0434006527066231;10;0;0
38;1771553105997,626676;-0,0757051855325699;-0,0757051855325699;10;0;0
39;1771553106061,037376;-0,0775571838021278;-0,0775571838021278;10;0;0
40;1771553106122,839976;-0,0320527032017708;-0,0320527032017708;10;0;0
41;1771553106185,211876;0,0377046838402748;0,0377046838402748;10;0;0
42;1771553106247,488976;0,0882147774100304;0,0882147774100304;10;0;0
43;1771553106310,511776;-0,0171659123152494;-0,0171659123152494;10;0;0
44;1771553106372,967476;0,0406575202941895;0,0406575202941895;10;0;0
45;1771553106436,491476;-0,0538236610591412;-0,0538236610591412;10;0;0
46;1771553106499,727776;0,0599391460418701;0,0599391460418701;10;0;0
47;1771553106560,980376;0,0128490328788757;0,0128490328788757;10;0;0
48;1771553106623,255876;0,0845799967646599;0,0845799967646599;10;0;0
49;1771553106685,833676;0,0590606331825256;0,0590606331825256;10;0;4,13286619553935E-14
