Sample;X(ms) [24.02.2026 18:59:44 014 UTC];"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
135;1771959587894,957243;5;0,0128118665888906;0,129553869366646
136;1771959587957,649543;5;0,0139558641240001;0,131800383329391
137;1771959588022,755543;5;0,0145323341712356;0,134118542075157
138;1771959588081,991843;5;0,0146834030747414;0,134801104664803
139;1771959588144,951443;5;0,0147200850769877;0,136368691921234
140;1771959588207,340443;5;0,0147979613393545;0,137953817844391
141;1771959588269,572543;5;0,0154496049508452;0,139360755681992
142;1771959588332,397243;5;0,0162426996976137;0,141418009996414
143;1771959588395,191643;5;0,0168055966496468;0,142614305019379
144;1771959588457,733643;5;0,0169746167957783;0,143717527389526
145;1771959588520,232243;5;0,0172520224004984;0,1449905782938
146;1771959588583,059443;5;0,017736691981554;0,145897850394249
147;1771959588645,481843;5;0,0182074755430222;0,147507712244987
148;1771959588707,797543;5;0,0186497308313847;0,149731740355492
149;1771959588770,794843;5;0,0190550312399864;0,151518777012825
150;1771959588833,021743;5;0,0191296022385359;0,153181135654449
151;1771959588895,609043;5;0,0195639487355947;0,15457583963871
152;1771959588958,221743;5;0,0201548263430595;0,156056508421898
153;1771959589020,945243;5;0,020423486828804;0,156904608011246
154;1771959589083,335943;5;0,0211195666342974;0,158580660820007
155;1771959589146,018743;5;0,0215385593473911;0,161408856511116
156;1771959589208,900143;5;0,0216085650026798;0,163434654474258
157;1771959589271,379243;5;0,0218507349491119;0,164680510759354
158;1771959589333,807243;5;0,0222816895693541;0,166127845644951
159;1771959589396,657343;5;0,023200985044241;0,167716279625893
160;1771959589459,243043;5;0,023641049861908;0,168525904417038
161;1771959589521,417743;5;0,0242251586169004;0,170405730605125
162;1771959589584,150743;5;0,024494519457221;0,172108098864555
163;1771959589647,544743;5;0,0246190000325441;0,17332848906517
164;1771959589709,664243;5;0,0251258183270693;0,174925953149796
165;1771959589777,818843;5;0,0258792359381914;0,176418259739876
166;1771959589834,658743;5;0,026487659662962;0,178036972880363
167;1771959589900,316343;5;0,026952026411891;0,179758340120316
168;1771959589963,605543;5;0,0272592362016439;0,181142702698708
169;1771959590025,828443;5;0,0276186596602201;0,182790741324425
170;1771959590087,312043;5;0,0279168020933867;0,183730602264404
171;1771959590150,454343;5;0,0285014398396015;0,18557234108448
172;1771959590212,527343;5;0,0289004538208246;0,187039524316788
173;1771959590275,058943;5;0,0293220076709986;0,188537865877151
174;1771959590337,433343;5;0,0297130700200796;0,190268158912659
175;1771959590400,372543;5;0,0302757285535336;0,191751196980476
176;1771959590463,246543;5;0,0308457482606173;0,193308308720589
177;1771959590526,070243;5;0,0313452705740929;0,19506274163723
178;1771959590587,788343;5;0,0315942876040936;0,195947751402855
179;1771959590650,431243;5;0,031965758651495;0,197601452469826
180;1771959590712,998643;5;0,032334677875042;0,199053138494492
181;1771959590775,658743;5;0,0328847579658031;0,200490847229958
182;1771959590837,970643;5;0,0335040614008904;0,201922997832298
183;1771959590901,071743;5;0,0341717898845673;0,203466668725014
184;1771959590963,926343;5;0,0347041301429272;0,205096885561943
185;1771959591026,046043;5;0,0350862443447113;0,206682950258255
186;1771959591088,618543;5;0,035273227840662;0,207450971007347
187;1771959591151,132043;5;0,035673126578331;0,208867236971855
188;1771959591214,281343;5;0,0362344644963741;0,210333362221718
189;1771959591277,275643;5;0,0368973687291145;0,2119450122118
190;1771959591339,161143;5;0,0374116748571396;0,213540717959404
191;1771959591401,828543;5;0,0378633551299572;0,215081453323364
192;1771959591465,170143;5;0,0382560640573502;0,216624602675438
193;1771959591526,780543;5;0,0387221239507198;0,218205437064171
194;1771959591590,182243;5;0,0390177555382252;0,218955770134926
195;1771959591651,809343;5;0,0395960174500942;0,220482975244522
196;1771959591714,912343;5;0,040097501128912;0,222033098340034
197;1771959591777,266443;5;0,0405873283743858;0,22348390519619
198;1771959591839,324143;5;0,0410790108144283;0,224959805607796
199;1771959591901,977343;5;0,0416364334523678;0,226490929722786
200;1771959591965,495143;5;0,042199119925499;0,228078469634056
201;1771959592026,999343;5;0,0426838397979736;0,22954349219799
202;1771959592089,154843;5;0,0429277010262012;0,230270192027092
203;1771959592152,252643;5;0,0434349849820137;0,231768995523453
204;1771959592214,850143;5;0,0439656302332878;0,233216136693954
205;1771959592278,159343;5;0,044555950909853;0,234633550047874
206;1771959592339,512643;5;0,045119896531105;0,236084848642349
207;1771959592402,609143;5;0,0456603243947029;0,237638160586357
208;1771959592465,848143;5;0,0461422316730022;0,239168539643288
209;1771959592527,452043;5;0,0466031283140182;0,240606531500816
210;1771959592589,777443;5;0,0468619652092457;0,241336032748222
211;1771959592653,265643;5;0,0473953224718571;0,242808252573013
212;1771959592717,097343;5;0,0479570589959621;0,244255438446999
213;1771959592779,179943;5;0,0485541597008705;0,245787739753723
214;1771959592840,754543;5;0,0490646250545979;0,247278288006783
215;1771959592905,064643;5;0,0495335683226585;0,24872188270092
216;1771959592966,314443;5;0,0500404462218285;0,250173032283783
217;1771959593029,154543;5;0,0504513084888458;0,251259028911591
218;1771959593090,741043;5;0,0509582236409187;0,252554923295975
219;1771959593153,398843;5;0,0515301190316677;0,25397053360939
220;1771959593216,710043;5;0,0520695485174656;0,25541815161705
221;1771959593279,035943;5;0,0524620898067951;0,256503492593765
222;1771959593340,893543;5;0,0531225726008415;0,258271098136902
223;1771959593404,001443;5;0,0536849349737167;0,259755402803421
224;1771959593466,784643;5;0,0542394816875458;0,261164009571075
225;1771959593528,480243;5;0,0547778531908989;0,262606263160706
226;1771959593590,851543;5;0,055048692971468;0,263320058584213
227;1771959593653,798243;5;0,0555901266634464;0,264697730541229
228;1771959593716,604143;5;0,0561518333852291;0,266112357378006
229;1771959593778,636443;5;0,0567271038889885;0,267562389373779
230;1771959593841,308743;5;0,0572624877095222;0,269001394510269
231;1771959593903,953543;5;0,0576550774276257;0,270069122314453
232;1771959593966,806843;5;0,0581882856786251;0,271485269069672
233;1771959594029,118443;5;0,0588619373738766;0,273260891437531
234;1771959594092,454743;5;0,0592882670462132;0,274307906627655
